Date,Site,Phosphate,Nitrate,Ammonium,NtoP,Chla,Discharge
6/8/15,1. ODNR4,0.13,606.27,1.41,4784.9,66.96,14.2066
6/15/15,1. ODNR4,0.15,183.12,0.11,1189.8,15.75,129.897
6/22/15,1. ODNR4,2.67,425.01,8.81,162.4,9.22,63.675
6/29/15,1. ODNR4,4.25,369.31,6.56,88.5,3.49,253.851
7/6/15,1. ODNR4,0.36,295.03,0.66,826.7,,19.3855
7/13/15,1. ODNR4,2.27,199.23,7.62,91.3,8.5,322.62
7/20/15,1. ODNR4,1.18,131.77,3.39,114.8,16.89,88.862
7/27/15,1. ODNR4,0.26,56.21,1.84,226.3,59.08,9.6503
8/3/15,1. ODNR4,0.08,0.66,0.78,17.7,84.6,5.377
8/11/15,1. ODNR4,0.74,0.37,3.19,4.8,88.66,4.0186
8/18/15,1. ODNR4,1.03,0.63,12.9,13.2,103.37,8.4617
8/24/15,1. ODNR4,1,0.32,1.68,2,87.67,3.1413
8/31/15,1. ODNR4,0.14,0.01,0.42,3,74.57,4.8676
6/8/15,2. ODNR6,0.47,95.76,1.46,208,12.18,14.2066
6/15/15,2. ODNR6,0.49,0.4,1.1,3,11.84,129.897
6/22/15,2. ODNR6,2.32,665.22,13.31,292.3,7.17,63.675
6/29/15,2. ODNR6,1.57,291.61,5.21,189.4,28.23,253.851
7/6/15,2. ODNR6,0.08,286.98,1.99,3853,79.31,19.3855
7/13/15,2. ODNR6,0.04,207.01,0.44,5927.4,79.03,322.62
7/20/15,2. ODNR6,0.75,135.71,0.59,181.6,36.18,88.862
7/27/15,2. ODNR6,0.01,64.13,0.96,10849.3,67.67,9.6503
8/3/15,2. ODNR6,0.01,1.5,0,166.4,84.04,5.377
8/11/15,2. ODNR6,0.22,0.4,14.39,66.9,42.56,4.0186
8/18/15,2. ODNR6,0.16,0.44,6.87,45.4,121.26,8.4617
8/24/15,2. ODNR6,0.1,0,0.77,7.4,146.84,3.1413
8/31/15,2. ODNR6,,,,,104.19,4.8676
6/15/15,3. ODNR2,0.24,0.3,0.03,1.4,9.11,129.897
6/22/15,3. ODNR2,0.07,148.68,1.16,2140.6,8.07,63.675
6/29/15,3. ODNR2,0.25,370.71,3.37,1520.7,22.7,253.851
7/6/15,3. ODNR2,0.21,222.62,0.41,1044.6,26.28,19.3855
7/13/15,3. ODNR2,0.11,205.01,0.28,1912.6,44.26,322.62
7/20/15,3. ODNR2,0.02,127.89,0.72,6430.6,47.69,88.862
7/27/15,3. ODNR2,0.07,34.14,3.26,519.5,45.06,9.6503
8/3/15,3. ODNR2,0.04,11.06,0,290.9,34.63,5.377
8/11/15,3. ODNR2,1,0.43,17.47,17.9,70.29,4.0186
8/18/15,3. ODNR2,0.1,0.04,0.7,7.8,79.02,8.4617
8/24/15,3. ODNR2,0.08,0.01,0.68,9.1,71.97,3.1413
8/31/15,3. ODNR2,0.02,0.43,0.59,60.1,77.2,4.8676
9/11/15,3. ODNR2,1.11,1.26,0,1.1,29.69,2.6319
9/18/15,3. ODNR2,,,,,21.39,2.0942
9/25/15,3. ODNR2,1.05,0,0.95,0.9,15.38,1.3867
10/9/15,3. ODNR2,,,,,11.08,1.2735
6/15/15,4. ODNR1,0.31,0.14,0,0.4,13.59,129.897
6/22/15,4. ODNR1,0.03,134.87,0.73,4108.9,9.81,63.675
6/29/15,4. ODNR1,0.53,256.59,4.37,491,21.91,253.851
7/6/15,4. ODNR1,0.02,172.93,0.08,8650.5,27.03,19.3855
7/13/15,4. ODNR1,0,182.78,0.59,183374,30.06,322.62
7/20/15,4. ODNR1,0.01,131.63,0.45,12007.2,39.81,88.862
7/27/15,4. ODNR1,0,63.28,0.14,20000,26.46,9.6503
8/3/15,4. ODNR1,0,0.18,0.02,20000,36.57,5.377
8/11/15,4. ODNR1,0.04,1.48,0.6,49.5,70.83,4.0186
8/18/15,4. ODNR1,0.11,0.06,0.67,6.5,103.52,8.4617
8/24/15,4. ODNR1,0.05,0,0.41,8.1,72.34,3.1413
8/31/15,4. ODNR1,0.02,0,0.6,25.4,74.25,4.8676
9/11/15,4. ODNR1,0.63,0.72,0.13,1.4,49.1,2.6319
9/18/15,4. ODNR1,,,,,12.41,2.0942
9/25/15,4. ODNR1,0.11,0.03,1.01,9.6,26.42,1.3867
10/9/15,4. ODNR1,,,,,9.03,1.2735
5/21/15,5. 1163,,,,,31.1,10.8389
5/28/15,5. 1163,,,,,17.31,4.3299
6/8/15,5. 1163,0.21,18.1,0.72,87.9,7.28,14.2066
6/15/15,5. 1163,0.21,0.02,0,0.1,11.81,129.897
6/22/15,5. 1163,0.04,89.33,0.62,2570,8.24,63.675
6/29/15,5. 1163,0.45,276.51,2.18,613.2,17.97,253.851
7/6/15,5. 1163,0.01,130.02,0.09,10008.5,30.56,19.3855
7/13/15,5. 1163,0,161.99,0.44,20000,22.77,322.62
7/20/15,5. 1163,0,120.34,0,20000,35.3,88.862
7/27/15,5. 1163,0,64.72,0.06,20000,24.57,9.6503
8/3/15,5. 1163,0.03,9.27,0.06,310.9,54.43,5.377
8/11/15,5. 1163,0.01,17.91,3.02,3804.5,58.39,4.0186
8/18/15,5. 1163,0.13,1.9,1.72,28.2,74.18,8.4617
8/24/15,5. 1163,0.05,0.01,0.36,7.4,57.61,3.1413
8/31/15,5. 1163,0,0,0.18,20000,44.84,4.8676
9/11/15,5. 1163,0.04,0.23,0,5.1,66.36,2.6319
9/18/15,5. 1163,,,,,20.91,2.0942
9/25/15,5. 1163,0.06,0,0.2,3.2,9.52,1.3867
10/9/15,5. 1163,,,,,8.68,1.2735
10/12/15,5. 1163,0.06,7.22,0.92,140.4,4.45,1.2735
6/15/15,6. Bells,0.09,30.7,0.2,349.1,8.13,129.897
6/22/15,6. Bells,0.1,39.3,0.78,391,13.75,63.675
6/29/15,6. Bells,0.75,52.62,3.59,74.8,21.12,253.851
7/6/15,6. Bells,0.03,44.57,0.73,1332.2,23.77,19.3855
7/13/15,6. Bells,0,130.39,0.57,65475.7,7.75,322.62
7/20/15,6. Bells,0,44.51,0.43,20000,13.61,88.862
7/27/15,6. Bells,0,66.61,0.13,20000,10.99,9.6503
8/3/15,6. Bells,0,31.6,0.62,20000,33.42,5.377
8/11/15,6. Bells,0.03,45.54,1.33,1511.8,14.94,4.0186
8/18/15,6. Bells,0.02,28.16,0.72,1255.7,14.61,8.4617
8/24/15,6. Bells,0.01,4.08,0.11,441.1,7.73,3.1413
8/31/15,6. Bells,0,1.18,1.12,20000,9.32,4.8676
9/11/15,6. Bells,0.05,0.46,0,8.7,8.1,2.6319
9/18/15,6. Bells,,,,,13.16,2.0942
9/25/15,6. Bells,0.11,0,0.37,3.5,6.05,1.3867
6/15/16,1. ODNR4,0.271,27.156,4.846,118.0885609,21.04,1.98
6/22/16,1. ODNR4,0.367,1.902,0.682,7.040871935,39.42,1.13
7/6/16,1. ODNR4,0.012,65.44,1.085,5543.75,65.79333333,1.02
7/11/16,1. ODNR4,0.034,0.123,0.406,15.55882353,39.29333333,1.98
7/25/16,1. ODNR4,1.956,2.181,0.47,1.355316973,37.28333333,1.13
7/27/16,1. ODNR4,2.2,0.191,0.262,0.205909091,41.83333333,1.02
8/3/16,1. ODNR4,0.214,0.229,0.369,2.794392523,48.12,0.96
8/17/16,1. ODNR4,0.569,0.799,0.09,1.562390158,113.0533333,5.55
8/31/16,1. ODNR4,1.915,0.055,0.541,0.311227154,48.90666667,2.21
6/15/16,2. ODNR6,0,13.753,1.21,20000,11.86,1.98
6/22/16,2. ODNR6,0.231,0.735,0.611,5.826839827,8.87,1.13
7/6/16,2. ODNR6,0.329,0.281,0.8,3.285714286,15.58,1.02
7/11/16,2. ODNR6,0.039,0.713,0.925,42,41.14,1.98
7/25/16,2. ODNR6,1.533,2.357,0.182,1.656229615,31.43,1.13
7/27/16,2. ODNR6,0.872,1.098,0.781,2.154816514,40.94,1.02
8/3/16,2. ODNR6,0.063,0.07,0.417,7.73015873,38.15,0.96
8/17/16,2. ODNR6,0.601,0.452,0,0.752079867,71.69,5.55
8/31/16,2. ODNR6,0.641,0.41,0,0.639625585,52.77,2.21
6/15/16,3. ODNR2,0.05,0.215,0.734,18.98,4.49,1.98
6/22/16,3. ODNR2,0.107,0.197,0.782,9.14953271,4.17,1.13
7/6/16,3. ODNR2,0.158,0.527,0.823,8.544303797,18.1,1.02
7/11/16,3. ODNR2,0.359,0.118,0.074,0.534818942,38.55,1.98
7/25/16,3. ODNR2,0.085,3.105,0.587,43.43529412,65.51,1.13
7/27/16,3. ODNR2,0.003,0.458,0.318,258.6666667,35.17,1.02
8/3/16,3. ODNR2,0.347,0.123,0.125,0.714697406,37.51,0.96
8/17/16,3. ODNR2,0.139,0.163,0.419,4.18705036,53.91,5.55
8/31/16,3. ODNR2,0.212,0.609,0.36,4.570754717,30.9,2.21
6/15/16,4. ODNR1,0,19.445,0.773,20000,12.14,1.98
6/22/16,4. ODNR1,0,0.535,0.736,20000,6.3,1.13
7/6/16,4. ODNR1,0.177,0.206,0.769,5.508474576,12.57,1.02
7/11/16,4. ODNR1,0,0.248,0.873,20000,18.59,1.98
7/25/16,4. ODNR1,0.152,1.247,0.214,9.611842105,47.87,1.13
7/27/16,4. ODNR1,0.069,0.132,0.36,7.130434783,39.82,1.02
8/3/16,4. ODNR1,0,0.025,0,20000,21.32,0.96
8/17/16,4. ODNR1,0.086,0.195,0.094,3.360465116,38.98,5.55
8/31/16,4. ODNR1,0.256,0.195,0.18,1.46484375,20.7,2.21
6/15/16,5. 1163,0.013,17.835,0.619,1419.538462,10.39,1.98
6/22/16,5. 1163,0,14.992,0.501,20000,4.17,1.13
7/6/16,5. 1163,0,0.531,0.803,20000,9.64,1.02
7/11/16,5. 1163,0,0.274,0.282,20000,18.4,1.98
7/25/16,5. 1163,0.013,3.158,1.119,329,40.53,1.13
7/27/16,5. 1163,0.058,1.417,1.355,47.79310345,41.97,1.02
8/3/16,5. 1163,0.017,0.316,1.989,135.5882353,18.27,0.96
8/17/16,5. 1163,0.011,6.405,1.084,680.8181818,23.91,5.55
8/31/16,5. 1163,0.013,0.726,0.369,84.23076923,16.44,2.21
6/15/16,6. Bells,0,50.851,0.923,20000,11.43,1.98
6/22/16,6. Bells,0,27.123,0.877,20000,5.8,1.13
7/6/16,6. Bells,0.122,39.902,0.934,334.7213115,10.81,1.02
7/11/16,6. Bells,0.001,30.182,0.533,20000,6.23,1.98
7/25/16,6. Bells,0,28.479,0.825,20000,4.8,1.13
7/27/16,6. Bells,0,24.215,0.372,20000,4.9,1.02
8/3/16,6. Bells,0,12.887,0.924,20000,5.7,0.96
8/17/16,6. Bells,0,9.899,0,20000,6.16,5.55
8/31/16,6. Bells,0,0.191,0,20000,12.18,2.21