Date,Taxa,Abundance,Proportion
5/21/15,Planktothrix,62650,0.8905
5/28/15,Planktothrix,76550,0.9639
6/8/15,Planktothrix,36461,0.9403
6/22/15,Planktothrix,69772,0.9912
6/29/15,Planktothrix,47718,0.9708
7/6/15,Planktothrix,76136,0.9991
7/13/15,Planktothrix,65534,0.9834
7/20/15,Planktothrix,75025,0.9692
7/27/15,Planktothrix,67012,0.9661
8/3/15,Planktothrix,55588,0.9546
8/18/15,Planktothrix,187696,0.6137
8/31/15,Planktothrix,134932,0.7594
9/11/15,Planktothrix,500773,0.9655
9/18/15,Planktothrix,385241,0.9762
9/25/15,Planktothrix,451253,0.9791
10/9/15,Planktothrix,331489,0.9404
10/12/15,Planktothrix,318724,0.9677
6/15/16,Planktothrix,562042,0.9992
6/22/16,Planktothrix,324706,0.9948
7/6/16,Planktothrix,288754,0.989
7/11/16,Planktothrix,195043,0.7317
7/25/16,Planktothrix,21575,0.2204
7/27/16,Planktothrix,492664,0.8974
8/17/16,Planktothrix,265722,0.7447
8/31/16,Planktothrix,304351,0.7274
5/21/15,Dolichospermum,628,0.0089
5/28/15,Dolichospermum,937,0.0118
6/8/15,Dolichospermum,1472,0.038
6/22/15,Dolichospermum,28,0.0004
6/29/15,Dolichospermum,93,0.0019
7/6/15,Dolichospermum,2,0
7/13/15,Dolichospermum,179,0.0027
7/20/15,Dolichospermum,861,0.0111
7/27/15,Dolichospermum,458,0.0066
8/3/15,Dolichospermum,418,0.0072
8/18/15,Dolichospermum,48460,0.1584
8/31/15,Dolichospermum,23768,0.1338
9/11/15,Dolichospermum,6404,0.0123
9/18/15,Dolichospermum,1588,0.004
9/25/15,Dolichospermum,2914,0.0063
10/9/15,Dolichospermum,12085,0.0343
10/12/15,Dolichospermum,4328,0.0131
6/15/16,Dolichospermum,21,0
6/22/16,Dolichospermum,113,0.0003
7/6/16,Dolichospermum,815,0.0028
7/11/16,Dolichospermum,52690,0.1977
7/25/16,Dolichospermum,13974,0.1428
7/27/16,Dolichospermum,43520,0.0793
8/17/16,Dolichospermum,38488,0.1079
8/31/16,Dolichospermum,46855,0.112
5/21/15,Aphanizomenon,108,0.0015
5/28/15,Aphanizomenon,166,0.0021
6/8/15,Aphanizomenon,758,0.0195
6/22/15,Aphanizomenon,588,0.0084
6/29/15,Aphanizomenon,1270,0.0258
7/6/15,Aphanizomenon,47,0.0006
7/13/15,Aphanizomenon,864,0.013
7/20/15,Aphanizomenon,810,0.0105
7/27/15,Aphanizomenon,837,0.0121
8/3/15,Aphanizomenon,743,0.0128
8/18/15,Aphanizomenon,14764,0.0483
8/31/15,Aphanizomenon,5430,0.0306
9/11/15,Aphanizomenon,1539,0.003
9/18/15,Aphanizomenon,896,0.0023
9/25/15,Aphanizomenon,687,0.0015
10/9/15,Aphanizomenon,1725,0.0049
10/12/15,Aphanizomenon,1173,0.0036
6/15/16,Aphanizomenon,197,0.0004
6/22/16,Aphanizomenon,1393,0.0043
7/6/16,Aphanizomenon,1264,0.0043
7/11/16,Aphanizomenon,13812,0.0518
7/25/16,Aphanizomenon,18439,0.1884
7/27/16,Aphanizomenon,9321,0.017
8/17/16,Aphanizomenon,11583,0.0325
8/31/16,Aphanizomenon,23934,0.0572
5/21/15,Other,6967,0.099
5/28/15,Other,1765,0.0222
6/8/15,Other,84,0.0022
6/22/15,Other,2,0
6/29/15,Other,70,0.0014
7/6/15,Other,21,0.0003
7/13/15,Other,61,0.0009
7/20/15,Other,714,0.0092
7/27/15,Other,1060,0.0153
8/3/15,Other,1482,0.0255
8/18/15,Other,54932,0.1796
8/31/15,Other,13546,0.0762
9/11/15,Other,9946,0.0192
9/18/15,Other,6900,0.0175
9/25/15,Other,6037,0.0131
10/9/15,Other,7199,0.0204
10/12/15,Other,5137,0.0156
6/15/16,Other,254,0.0005
6/22/16,Other,190,0.0006
7/6/16,Other,1135,0.0039
7/11/16,Other,5013,0.0188
7/25/16,Other,43882,0.4484
7/27/16,Other,3490,0.0064
8/17/16,Other,41034,0.115
8/31/16,Other,43279,0.1034